Date,Open,High,Low,Close,Adj Close,Volume
8/10/2017,3341.84,3453.45,3319.47,3381.28,3381.28,1515110016
8/11/2017,3373.82,3679.72,3372.12,3650.62,3650.62,2021190016
8/12/2017,3650.63,3949.92,3613.70,3884.71,3884.71,2219589888
8/13/2017,3880.04,4208.39,3857.80,4073.26,4073.26,3159089920
8/14/2017,4066.10,4325.13,3989.16,4325.13,4325.13,2463089920
8/15/2017,4326.99,4455.97,3906.18,4181.93,4181.93,3258050048
8/16/2017,4200.34,4381.23,3994.42,4376.63,4376.63,2272039936
8/17/2017,4384.44,4484.70,4243.71,4331.69,4331.69,2553359872
8/18/2017,4324.34,4370.13,4015.40,4160.62,4160.62,2941710080
8/19/2017,4137.75,4243.26,3970.55,4193.70,4193.70,2975820032
8/20/2017,4189.31,4196.29,4069.88,4087.66,4087.66,2109769984
8/21/2017,4090.48,4109.14,3988.60,4001.74,4001.74,2800890112
8/22/2017,3998.35,4128.76,3674.58,4100.52,4100.52,3764239872
8/23/2017,4089.01,4255.78,4078.41,4151.52,4151.52,2369819904
8/24/2017,4137.60,4376.39,4130.26,4334.68,4334.68,2037750016
8/25/2017,4332.82,4455.70,4307.35,4371.60,4371.60,1727970048
8/26/2017,4372.06,4379.28,4269.52,4352.40,4352.40,1511609984
8/27/2017,4345.10,4416.59,4317.29,4382.88,4382.88,1537459968
8/28/2017,4384.45,4403.93,4224.64,4382.66,4382.66,1959330048
8/29/2017,4389.21,4625.68,4352.13,4579.02,4579.02,2486080000
8/30/2017,4570.36,4626.52,4471.41,4565.30,4565.30,1937849984
8/31/2017,4555.59,4736.05,4549.40,4703.39,4703.39,1944930048
9/1/2017,4701.76,4892.01,4678.53,4892.01,4892.01,2599079936
9/2/2017,4901.42,4975.04,4469.24,4578.77,4578.77,2722139904
9/3/2017,4585.27,4714.08,4417.59,4582.96,4582.96,1933190016
9/4/2017,4591.63,4591.63,4108.40,4236.31,4236.31,2987330048
9/5/2017,4228.29,4427.84,3998.11,4376.53,4376.53,2697969920
9/6/2017,4376.59,4617.25,4376.59,4597.12,4597.12,2172100096
9/7/2017,4589.14,4655.04,4491.33,4599.88,4599.88,1844620032
9/8/2017,4605.16,4661.00,4075.18,4228.75,4228.75,2700890112
9/9/2017,4229.81,4308.82,4114.11,4226.06,4226.06,1386230016
9/10/2017,4229.34,4245.44,3951.04,4122.94,4122.94,1679090048
9/11/2017,4122.47,4261.67,4099.40,4161.27,4161.27,1557330048
9/12/2017,4168.88,4344.65,4085.22,4130.81,4130.81,1864530048
9/13/2017,4131.98,4131.98,3789.92,3882.59,3882.59,2219409920
9/14/2017,3875.37,3920.60,3153.86,3154.95,3154.95,2716310016
9/15/2017,3166.30,3733.45,2946.62,3637.52,3637.52,4148069888
9/16/2017,3637.75,3808.84,3487.79,3625.04,3625.04,1818400000
9/17/2017,3606.28,3664.81,3445.64,3582.88,3582.88,1239149952
9/18/2017,3591.09,4079.23,3591.09,4065.20,4065.20,1943209984
9/19/2017,4073.79,4094.07,3868.87,3924.97,3924.97,1563980032
9/20/2017,3916.36,4031.39,3857.73,3905.95,3905.95,1213830016
9/21/2017,3901.47,3916.42,3613.63,3631.04,3631.04,1411480064
9/22/2017,3628.02,3758.27,3553.53,3630.70,3630.70,1194829952
9/23/2017,3629.92,3819.21,3594.58,3792.40,3792.40,928113984
9/24/2017,3796.15,3796.15,3666.90,3682.84,3682.84,768014976
9/25/2017,3681.58,3950.25,3681.58,3926.07,3926.07,1374210048
9/26/2017,3928.41,3969.89,3869.90,3892.35,3892.35,1043740032
9/27/2017,3892.94,4210.05,3884.82,4200.67,4200.67,1686880000
9/28/2017,4197.13,4279.31,4109.70,4174.73,4174.73,1712320000
9/29/2017,4171.62,4214.63,4039.29,4163.07,4163.07,1367049984
9/30/2017,4166.11,4358.43,4160.86,4338.71,4338.71,1207449984
10/1/2017,4341.05,4403.74,4269.81,4403.74,4403.74,1208210048
10/2/2017,4395.81,4470.23,4377.46,4409.32,4409.32,1431730048
10/3/2017,4408.46,4432.47,4258.89,4317.48,4317.48,1288019968
10/4/2017,4319.37,4352.31,4210.42,4229.36,4229.36,1116770048
10/5/2017,4229.88,4362.64,4164.05,4328.41,4328.41,1161769984
10/6/2017,4324.46,4413.27,4320.53,4370.81,4370.81,1069939968
10/7/2017,4369.35,4443.88,4321.05,4426.89,4426.89,906928000
10/8/2017,4429.67,4624.14,4405.64,4610.48,4610.48,1313869952
10/9/2017,4614.52,4878.71,4564.25,4772.02,4772.02,1968739968
10/10/2017,4776.21,4922.17,4765.10,4781.99,4781.99,1597139968
10/11/2017,4789.25,4873.73,4751.63,4826.48,4826.48,1222279936
10/12/2017,4829.58,5446.91,4822.00,5446.91,5446.91,2791610112
10/13/2017,5464.16,5840.30,5436.85,5647.21,5647.21,3615480064
10/14/2017,5643.53,5837.70,5591.64,5831.79,5831.79,1669030016
10/15/2017,5835.96,5852.48,5478.61,5678.19,5678.19,1976039936
10/16/2017,5687.57,5776.23,5544.21,5725.59,5725.59,2008070016
10/17/2017,5741.58,5800.35,5472.72,5605.51,5605.51,1821570048
10/18/2017,5603.82,5603.82,5151.44,5590.69,5590.69,2399269888
10/19/2017,5583.74,5744.35,5531.06,5708.52,5708.52,1780540032
10/20/2017,5708.11,6060.11,5627.23,6011.45,6011.45,2354429952
10/21/2017,5996.79,6194.88,5965.07,6031.60,6031.60,2207099904
10/22/2017,6036.66,6076.26,5792.34,6008.42,6008.42,2034630016
10/23/2017,6006.00,6075.59,5732.47,5930.32,5930.32,2401840128
10/24/2017,5935.52,5935.52,5504.18,5526.64,5526.64,2735699968
10/25/2017,5524.60,5754.33,5397.88,5750.80,5750.80,1966989952
10/26/2017,5747.95,5976.80,5721.22,5904.83,5904.83,1905040000
10/27/2017,5899.74,5988.39,5728.82,5780.90,5780.90,1710130048
10/28/2017,5787.82,5876.72,5689.19,5753.09,5753.09,1403920000
10/29/2017,5754.44,6255.71,5724.58,6153.85,6153.85,2859040000
10/30/2017,6114.85,6214.99,6040.85,6130.53,6130.53,1772150016
10/31/2017,6132.02,6470.43,6103.33,6468.40,6468.40,2311379968
11/1/2017,6440.97,6767.31,6377.88,6767.31,6767.31,2870320128
11/2/2017,6777.77,7367.33,6758.72,7078.50,7078.50,4653770240
11/3/2017,7087.53,7461.29,7002.94,7207.76,7207.76,3369860096
11/4/2017,7164.48,7492.86,7031.28,7379.95,7379.95,2483800064
11/5/2017,7404.52,7617.48,7333.19,7407.41,7407.41,2380410112
11/6/2017,7403.22,7445.77,7007.31,7022.76,7022.76,3111899904
11/7/2017,7023.10,7253.32,7023.10,7144.38,7144.38,2326340096
11/8/2017,7141.38,7776.42,7114.02,7459.69,7459.69,4602200064
11/9/2017,7446.83,7446.83,7101.52,7143.58,7143.58,3226249984
11/10/2017,7173.73,7312.00,6436.87,6618.14,6618.14,5208249856
11/11/2017,6618.61,6873.15,6204.22,6357.60,6357.60,4908680192
11/12/2017,6295.45,6625.05,5519.01,5950.07,5950.07,8957349888
11/13/2017,5938.25,6811.19,5844.29,6559.49,6559.49,6263249920
11/14/2017,6561.48,6764.98,6461.75,6635.75,6635.75,3197110016
11/15/2017,6634.76,7342.25,6634.76,7315.54,7315.54,4200880128
11/16/2017,7323.24,7967.38,7176.58,7871.69,7871.69,5123809792
11/17/2017,7853.57,8004.59,7561.09,7708.99,7708.99,4651670016
11/18/2017,7697.21,7884.99,7463.44,7790.15,7790.15,3667190016
11/19/2017,7766.03,8101.91,7694.10,8036.49,8036.49,3149319936
11/20/2017,8039.07,8336.86,7949.36,8200.64,8200.64,3488450048
11/21/2017,8205.74,8348.66,7762.71,8071.26,8071.26,4277609984
11/22/2017,8077.95,8302.26,8075.47,8253.55,8253.55,3633530112
11/23/2017,8232.38,8267.40,8038.77,8038.77,8038.77,4225179904
11/24/2017,8074.02,8374.16,7940.93,8253.69,8253.69,5058610176
11/25/2017,8241.71,8790.92,8191.15,8790.92,8790.92,4342060032
11/26/2017,8789.04,9522.93,8775.59,9330.55,9330.55,5475579904
11/27/2017,9352.72,9818.35,9352.72,9818.35,9818.35,5653320192
11/28/2017,9823.43,10125.70,9736.30,10058.80,10058.80,6348819968
11/29/2017,10077.40,11517.40,9601.03,9888.61,9888.61,11568799744
11/30/2017,9906.79,10801.00,9202.05,10233.60,10233.60,8310689792
12/1/2017,10198.60,11046.70,9694.65,10975.60,10975.60,6783119872
12/2/2017,10978.30,11320.20,10905.10,11074.60,11074.60,5138500096
12/3/2017,11082.70,11858.70,10862.00,11323.20,11323.20,6608309760
12/4/2017,11315.40,11657.20,11081.80,11657.20,11657.20,6132409856
12/5/2017,11685.70,12032.00,11604.60,11916.70,11916.70,6895260160
12/6/2017,11923.40,14369.10,11923.40,14291.50,14291.50,12656300032
